id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
11,-0.0281672,1.00591,-0.0187814,-0.217625,0.0758504,-0.0327057,1.06098,-0.0424435,0.129807,0.043567,0.00577921,1.07192,-0.0197707,-0.000741141,0.0622794,0.120255,0.200716,0.060548,1.38211,0.06783,0
12,0.0640018,-0.154756,0.00275038,0.0528284,-0.319386,0.056457,-0.183342,-0.00379984,0.055116,-0.320491,0.0950524,-0.148673,0.00988699,-0.00481176,-0.306141,0.131717,0.15944,0.0543286,1.46879,0.082632,0
13,0.00528687,0.0301536,-0.00399552,0.328168,-0.0226856,0.0369591,0.0235769,0.006753,0.0350825,-0.00525735,0.0224157,-0.0388067,-0.00288162,0.0105041,0.00231879,0.114537,0.182806,0.0493343,1.40865,0.0816273,0
14,-0.0163545,0.270427,-0.00997182,0.248759,0.0563984,-0.000504826,0.316986,0.00261704,-0.346683,0.0573718,-0.0177968,0.349764,-0.00279146,-0.00348286,0.0337134,0.115184,0.243282,0.0570133,1.41937,0.0898366,0
15,-0.0957903,0.319978,-0.00232293,-0.163574,0.260975,-0.114384,0.313177,0.00527016,-0.107648,0.264456,-0.125858,0.340944,-0.00158964,-0.0197111,0.248348,0.140818,0.229473,0.0595372,1.5118,0.0731732,0
16,-0.120957,0.469237,0.0352493,-0.223112,-0.256531,-0.0323846,0.362703,0.029633,-0.0031531,-0.19813,-0.0953631,0.437323,0.0362213,-0.0722143,-0.240015,0.121447,0.312195,0.0598432,1.22778,0.0843176,0
17,0.0185369,-0.036707,-0.014451,-0.0322239,-0.0701194,0.0386158,0.0115827,0.00371165,-0.186535,-0.0642363,0.0575298,-0.0259283,-0.00325547,0.0161989,-0.0492897,0.126463,0.167434,0.0541909,1.66856,0.0791683,0
18,0.116336,0.0206706,-0.00185483,0.0724403,-0.128022,0.126023,0.0658618,-0.0181023,0.436911,-0.149919,0.113214,0.0659658,-0.00701489,0.0291915,-0.149424,0.117292,0.186498,0.0644488,1.43638,0.0855404,0
19,-0.000999177,0.331343,-0.00889117,-0.101263,-0.270458,0.0452525,0.297008,0.0131193,-0.0641031,-0.226323,0.0438606,0.323685,0.00758532,-0.0130367,-0.244403,0.140368,0.22528,0.0591196,1.44301,0.0920224,0
20,-0.0264118,0.313107,-0.0129167,-0.0189478,0.0204661,0.0272001,0.280959,0.00283217,0.193928,0.0647482,-0.0064457,0.361259,-0.00516434,0.0022181,0.0142454,0.140078,0.203703,0.0588578,1.39835,0.0949768,0
21,0.129373,-0.367646,0.0100457,0.0113921,-0.302979,0.160397,-0.400804,0.0127028,0.209838,-0.280004,0.123059,-0.381803,0.0112346,-0.000874902,-0.301223,0.124975,0.181919,0.060124,1.4246,0.0757811,0
22,-0.0759023,0.320737,-0.00894733,-0.264864,0.169154,-0.0568905,0.397283,0.0063466,-0.468934,0.153993,-0.0612675,0.35083,-0.00654497,-0.0022655,0.160846,0.103003,0.225828,0.0620526,1.56815,0.0753256,0
23,-0.0321698,0.97247,0.0246381,-0.541247,-0.207092,-0.0672276,0.840835,0.0115491,-0.0541467,-0.19369,-0.0410478,0.908433,0.0221882,-0.048366,-0.199843,0.136229,0.225273,0.0507479,1.45073,0.0668851,0
24,-0.122629,0.627815,0.0283082,-0.383278,0.0466063,-0.120872,0.737136,0.0323501,-0.192774,0.0162686,-0.134126,0.752844,0.0296846,-0.0639293,0.00116747,0.128965,0.306231,0.0564396,1.50725,0.0712787,0
25,-0.00228837,0.22674,0.0120918,0.290798,-0.0663491,0.00299128,0.221785,-0.00730347,0.414796,-0.0741448,0.0255279,0.20572,-0.00349747,0.00679041,-0.0576721,0.117581,0.190838,0.0576709,1.40379,0.0778452,0
26,0.04145,-0.844111,-0.00922256,-0.283748,-0.107611,0.0527709,-0.778171,0.0154898,-0.0418643,-0.109949,0.0225356,-0.769721,0.012443,-0.0224204,-0.125338,0.105918,0.181769,0.0633942,1.30794,0.066054,0
27,0.0925359,0.523208,-0.0410723,0.416762,-0.0792414,0.0787109,0.511209,-0.0436509,0.124281,-0.0716436,0.128727,0.516316,-0.0293395,0.0504151,-0.0528618,0.162336,0.19796,0.073524,1.49423,0.0824784,0
28,-0.12684,-0.167928,0.00701071,-0.553662,-0.00328202,-0.102874,-0.21654,0.00352001,-0.192134,0.00599352,-0.101019,-0.234592,0.00887234,-0.0369004,0.019724,0.12304,0.255439,0.055763,1.53529,0.0904193,0
29,0.0670058,0.822584,-0.0321257,0.217336,0.189035,0.0736495,0.797482,-0.040285,-0.162347,0.193385,0.0641417,0.819537,-0.0417894,0.0463983,0.180311,0.126431,0.167869,0.0533758,1.5673,0.0620774,0
30,-0.132026,-0.334126,0.0140143,-0.278788,0.101222,-0.0870192,-0.313311,0.0254865,-0.44358,0.119623,-0.0790725,-0.380163,0.0026335,-0.0178556,0.129628,0.125169,0.204565,0.0592385,1.38999,0.0773444,0
31,0.125946,-0.320679,0.0169489,0.0733396,-0.344915,0.0887908,-0.30724,0.000568399,-0.0617727,-0.373943,0.118172,-0.301334,0.0119043,-0.00423003,-0.35879,0.143498,0.170559,0.0587896,1.46649,0.0855572,0
32,-0.0696265,-0.572789,0.00513095,0.0640088,-0.12642,-0.0754319,-0.508787,0.0165548,-0.337384,-0.136586,-0.0341938,-0.499235,0.00984937,-0.0267984,-0.123212,0.119663,0.21437,0.0491656,1.4032,0.0767688,0
33,-0.0854242,0.859528,0.0333389,-0.144689,9.01238e-6,-0.070273,0.853467,0.0250254,-0.126093,-0.000161559,-0.0692949,0.928211,0.0144176,-0.0411511,-0.0322994,0.129382,0.272953,0.049725,1.46165,0.0751046,0
34,-0.028175,0.205696,-0.0130364,0.394897,0.149837,-0.00714428,0.239081,-0.0113839,0.0619442,0.146775,0.00955268,0.242968,-0.0176375,0.0303898,0.145575,0.109367,0.178574,0.0500733,1.1972,0.0757623,0
35,-0.000977893,0.475218,-0.0103579,-0.0211968,0.0286041,0.0134913,0.461581,-0.0175133,0.10512,0.0277941,-0.00203758,0.46532,-0.0084215,0.0056188,0.029693,0.121821,0.248943,0.0586875,1.44623,0.0886008,0
36,0.0965146,0.520203,0.00565271,0.131071,-0.0643948,0.101799,0.593079,-0.00306339,0.367174,-0.0900441,0.0800299,0.588499,-0.0164219,0.0215064,-0.102825,0.12618,0.199578,0.0576589,1.50003,0.0764511,0
37,0.0176707,0.63398,-0.0221844,-0.0879242,-0.0144168,-0.0151072,0.593749,-0.0152438,0.3379,-0.00195186,0.0277863,0.652504,-0.0147466,0.0127621,-0.0142501,0.122827,0.226939,0.0583056,1.30907,0.0852185,0
38,-0.129522,-0.0120565,0.00746525,-0.260275,0.221263,-0.151981,0.0157098,0.00364677,-0.413989,0.20135,-0.14132,-0.0695857,0.00117773,-0.0274814,0.226485,0.109012,0.201601,0.0538051,1.2482,0.0732476,0
39,-0.107519,-0.276268,0.0143842,0.0927586,0.029302,-0.0375777,-0.346208,0.00386434,-0.221814,0.0806641,-0.0623518,-0.312974,0.00468324,-0.0193511,0.0584888,0.105821,0.178248,0.0690628,1.32632,0.0680227,0
40,0.119273,-0.64159,0.0270859,-0.241356,-0.341495,0.103305,-0.673171,0.020798,-0.205166,-0.343456,0.134801,-0.631232,0.0157749,-0.00927086,-0.343505,0.147436,0.17734,0.0667315,1.75373,0.0882491,0
41,0.00374807,0.457026,-0.00866447,-0.0699989,0.0872862,-0.0172064,0.455342,0.00221282,0.106801,0.0800614,-0.0185978,0.448186,-0.00821067,0.00367763,0.0755399,0.133729,0.20395,0.0644353,1.49987,0.0799274,0
42,0.0486453,0.278056,-0.0242359,-0.100313,-0.159386,0.109984,0.209303,0.00170473,-0.00317364,-0.091137,0.101863,0.242628,-0.0127888,0.0324336,-0.116972,0.138484,0.185209,0.0693741,1.47106,0.0986061,0
43,-0.0526756,0.191126,-0.00521468,-0.124003,-0.0118447,-0.0320782,0.105829,0.00193737,-0.208214,0.0324373,-0.0147375,0.144556,-0.00176694,-0.000835323,0.0166059,0.114595,0.213417,0.0621002,1.32514,0.0831577,0
44,0.149569,-0.599981,0.0145701,-0.0622339,-0.473648,0.172477,-0.702611,0.0388233,-0.122247,-0.422655,0.161226,-0.618533,0.0178225,-0.01091,-0.45804,0.132476,0.177675,0.0667031,1.5903,0.081764,0
45,0.0464574,0.5614,-0.00516619,0.142421,0.160477,0.0342446,0.423539,-0.0249993,-0.171515,0.189861,0.00211309,0.495997,-0.0203628,0.0244875,0.157059,0.110118,0.151394,0.0471718,1.42424,0.0686118,0
46,-0.136039,-0.395743,-0.0043747,-0.218289,0.17912,-0.143114,-0.300828,0.0123715,0.184502,0.156128,-0.107179,-0.338026,0.00146576,-0.021445,0.175885,0.129048,0.232593,0.0538822,1.40057,0.0834756,0
47,-0.0731462,0.534401,-0.00382498,0.207125,0.0677859,-0.0721903,0.531794,0.0278936,0.0555715,0.0895768,-0.0722208,0.525044,0.00436594,-0.0232505,0.0737895,0.131605,0.216975,0.0531603,1.43705,0.0803014,0
48,0.0149753,-0.112269,0.00455582,0.0201392,-0.115389,0.0610199,-0.154079,-0.00615691,-0.0406969,-0.0856375,0.0607461,-0.120287,0.00123012,0.00903102,-0.0935969,0.118173,0.176209,0.0638705,1.69649,0.0791523,0
49,0.00673312,0.166827,-0.0049864,0.078501,-0.124944,0.0237841,0.245592,0.0101432,-0.0811763,-0.134261,0.0312276,0.219217,0.00187585,-0.00291444,-0.128676,0.115808,0.176644,0.0536084,1.45154,0.0661154,0
50,0.0573252,0.469057,-0.0096269,0.103721,-0.050749,0.033933,0.477356,-0.0145627,0.480312,-0.0616517,0.0495215,0.468072,-0.0120173,0.0166564,-0.0546964,0.115477,0.201633,0.0469627,1.37022,0.0880587,0
51,0.00390046,-0.566849,-0.00706815,-0.450872,-0.212881,0.00684886,-0.585802,0.0238152,0.07057,-0.18654,0.0349483,-0.539238,0.011562,-0.0166345,-0.194163,0.138,0.2344,0.0621433,1.39005,0.0885808,0
52,0.057962,0.269071,0.00226985,0.140925,-0.0412174,0.0736017,0.252234,-0.00376798,0.168281,-0.0344363,0.0581686,0.257238,-0.00875527,0.0185948,-0.0472094,0.136032,0.181943,0.0660447,1.546,0.0871999,0
53,0.0251332,0.309988,0.000442376,-0.293023,0.0534734,0.0304131,0.318951,0.00830214,0.11108,0.0565798,-0.0150365,0.3683,-0.00490841,0.000981382,0.0179868,0.126353,0.249149,0.0620804,1.76851,0.0808541,0
54,0.0939647,-0.804242,0.00537023,-0.0842107,-0.174252,-0.0456192,-0.710094,0.0212176,-0.221757,-0.257466,0.0734229,-0.734833,0.0141809,-0.0161922,-0.19494,0.170635,0.186117,0.0684227,1.61773,0.0991228,0
55,-0.144997,-0.370416,-0.00798272,-0.184123,0.164094,-0.0978521,-0.35099,0.00720129,-0.552463,0.189537,-0.112586,-0.36638,0.00177876,-0.0236159,0.180978,0.151329,0.210989,0.0588346,1.46397,0.0831711,0
56,-0.0641612,-0.676378,-0.0057867,-0.480534,0.0869008,-0.0650314,-0.648009,0.00325207,0.457889,0.0850832,-0.0659327,-0.624843,0.00612988,-0.0247097,0.0769493,0.143354,0.1902,0.0573562,1.24152,0.0901452,0
57,0.0409795,-0.478914,0.0132753,-0.00568321,-0.0901079,-0.0097023,-0.475034,0.00549484,-0.162208,-0.115166,-0.000149654,-0.482512,0.0094526,-0.0182234,-0.109988,0.134183,0.221244,0.0591052,1.44078,0.0831702,0
